                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8012,                 2.1098,                 2.4119,                0.42923,                0.45201,                0.36132,                0.22106,                 1.4904,                 2.6014,                 2.4513,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.8378,                 2.2363,                 2.4572,                0.43445,                 0.4911,                0.45174,                0.25926,                 1.5268,                 2.4572,                 2.4767,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.7028,                 2.1675,                 2.4322,                0.47052,                0.57858,                0.45638,                0.28556,                 1.5016,                 2.4625,                 2.3994,             0.00051177,             0.00051177,             0.00051177
                     37,                 1.7976,                 2.1717,                 2.4146,                0.33073,                0.59013,                0.36827,                0.23081,                 1.4963,                 2.4931,                 2.4341,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.7077,                 2.0916,                 2.3637,                 0.3829,                0.57549,                0.38161,                0.24635,                 1.4803,                 2.3787,                 2.4769,             0.00044576,             0.00044576,             0.00044576
                     39,                 1.6793,                 1.9887,                  2.389,                0.39023,                 0.6161,                0.41264,                 0.2534,                 1.5039,                 2.3413,                 2.5287,             0.00041275,             0.00041275,             0.00041275
                     40,                 1.7239,                 2.0496,                 2.3222,                0.41474,                 0.4257,                0.37972,                0.26308,                 1.4392,                 2.3498,                 2.4693,             0.00037974,             0.00037974,             0.00037974
                     41,                 1.4324,                 2.3748,                 2.1741,                0.42564,                0.58978,                0.43932,                0.28969,                 1.4262,                 2.2065,                 2.3928,             0.00034674,             0.00034674,             0.00034674
                     42,                 1.3627,                   2.28,                 2.1167,                 0.5579,                 0.5394,                0.53035,                0.31521,                 1.4479,                 2.1854,                 2.3667,             0.00031373,             0.00031373,             0.00031373
                     43,                 1.3959,                 2.1876,                 2.1414,                0.61061,                0.46904,                0.55119,                0.33114,                 1.4412,                 2.1416,                 2.3406,             0.00028072,             0.00028072,             0.00028072
                     44,                 1.3585,                 2.1181,                 2.1091,                0.55036,                0.55108,                0.59434,                0.37615,                 1.4263,                 2.1732,                  2.331,             0.00024772,             0.00024772,             0.00024772
                     45,                 1.3729,                 2.0511,                 2.0947,                0.48881,                0.63384,                0.59054,                0.37305,                 1.3836,                 2.1066,                 2.2849,             0.00021471,             0.00021471,             0.00021471
                     46,                 1.3103,                 1.9509,                 2.0923,                0.46474,                0.58359,                0.55072,                 0.3577,                 1.3483,                 2.0556,                 2.2551,              0.0001817,              0.0001817,              0.0001817
                     47,                  1.307,                 1.9118,                 1.9979,                0.50883,                0.52786,                 0.4941,                0.32357,                 1.3535,                 2.0523,                 2.2526,              0.0001487,              0.0001487,              0.0001487
                     48,                 1.2833,                 1.8578,                 2.0427,                0.36925,                0.72755,                0.47296,                0.30342,                 1.3606,                 2.1033,                 2.2545,             0.00011569,             0.00011569,             0.00011569
                     49,                 1.3162,                 1.8789,                 2.0433,                0.42538,                0.60991,                0.47167,                0.31045,                 1.3548,                 2.1131,                 2.2439,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                 1.3045,                 1.8284,                 2.0979,                0.45536,                0.60991,                 0.4811,                0.32148,                 1.3416,                 2.1392,                  2.241,             4.9677e-05,             4.9677e-05,             4.9677e-05
